Date,Volatilità Reale (exp),Volatilità Predetta (exp)
2019-12-20,0.0031190172501809757,0.0034442833
2019-12-23,0.002616615672536617,0.0034064832
2019-12-24,0.002929363000780379,0.003595789
2019-12-26,0.0033809385006228687,0.0037548626
2019-12-27,0.0037514486690918693,0.003905265
2019-12-30,0.0037260199759136378,0.0036575855
2019-12-31,0.005407597080261992,0.003301465
2020-01-02,0.00761297104111492,0.0032247761
2020-01-03,0.007537907010132711,0.0039068377
2020-01-06,0.008013562884273424,0.0068936483
2020-01-07,0.008561375454786512,0.007102675
2020-01-08,0.007620756619368277,0.0059754057
2020-01-09,0.006683290657680039,0.0053352155
2020-01-10,0.007406399628403909,0.0048666
2020-01-13,0.0064466156815177035,0.0049307365
2020-01-14,0.006591734854234212,0.00486544
2020-01-15,0.0073027028961547245,0.00466616
2020-01-16,0.005954379556737049,0.004519511
2020-01-17,0.006834448309705396,0.004552696
2020-01-21,0.006983233703534058,0.004392886
2020-01-22,0.006495487788135502,0.0047270507
2020-01-23,0.0069420166503553924,0.0047633518
2020-01-24,0.007520264170627056,0.0048283474
2020-01-27,0.011206962004417299,0.0063849827
2020-01-28,0.010752089379641316,0.007978609
2020-01-29,0.013160498048284319,0.009432622
2020-01-30,0.015355934529882393,0.0084265955
2020-01-31,0.013926947140416927,0.00752386
2020-02-03,0.013584133055532294,0.011071564
2020-02-04,0.015672344722330332,0.011700534
2020-02-05,0.015353682938098877,0.009428471
2020-02-06,0.009337848014834366,0.008199417
2020-02-07,0.009441489216341737,0.007538694
2020-02-10,0.009172184703299434,0.0059890025
2020-02-11,0.002943550408405664,0.004545894
2020-02-12,0.002830380431504275,0.0032318223
2020-02-13,0.0015954568053086812,0.0029292686
2020-02-14,0.004686824038374466,0.0028902797
2020-02-18,0.0057624795040375236,0.0032595089
2020-02-19,0.0058125317727727305,0.0041326955
2020-02-20,0.007126168828266726,0.0050855377
2020-02-21,0.014981194775708931,0.0057725036
2020-02-24,0.018745388223462042,0.005961441
2020-02-25,0.015309421084526922,0.01211271
2020-02-26,0.016186461571135288,0.019307248
2020-02-27,0.013545028366720828,0.017771157
2020-02-28,0.0374102081512243,0.018994536
2020-03-02,0.03799619130285229,0.01977208
2020-03-03,0.043385131851627595,0.029557597
2020-03-04,0.04470880068062707,0.040782046
2020-03-05,0.04565183819971217,0.038738355
2020-03-06,0.05190196635840839,0.03871222
2020-03-09,0.0680098847735256,0.034499336
2020-03-10,0.06160818295787696,0.04703097
2020-03-11,0.07051662875392077,0.056912515
2020-03-12,0.10664567940466343,0.05744738
2020-03-13,0.11481929132850252,0.061339114
2020-03-16,0.11405786230439137,0.06585669
2020-03-17,0.1169592645724403,0.07922718
2020-03-18,0.10938749055613439,0.078481965
2020-03-19,0.08117345542696185,0.07295469
2020-03-20,0.05832408907601032,0.06967445
2020-03-23,0.08137309261430428,0.06354053
2020-03-24,0.06858368799252722,0.06049665
2020-03-25,0.0718693217879135,0.06629275
2020-03-26,0.07080879845388002,0.064443804
2020-03-27,0.054749869239503896,0.059264652
2020-03-30,0.038940077231488374,0.05560551
2020-03-31,0.048496198104612864,0.04881543
2020-04-01,0.036893032510861436,0.04351796
2020-04-02,0.03608267659220315,0.035957534
2020-04-03,0.051261467631519286,0.037047658
2020-04-06,0.04949411698189535,0.034964714
2020-04-07,0.033723116874971135,0.041626833
2020-04-08,0.03578238987352548,0.039395638
2020-04-09,0.042041145901188154,0.036164217
2020-04-13,0.035369358153198756,0.03673848
2020-04-14,0.04429140443034686,0.03642446
2020-04-15,0.03884233567250506,0.0321349
2020-04-16,0.038482369750198815,0.027756387
2020-04-17,0.03578388518994201,0.023476208
2020-04-20,0.03723797268948565,0.029925162
2020-04-21,0.03331702873112498,0.032985866
2020-04-22,0.03217186241774476,0.025286399
2020-04-23,0.019689016538637215,0.018076101
2020-04-24,0.024711616934293475,0.013739201
2020-04-27,0.013483753370869548,0.01232894
2020-04-28,0.015021269683410835,0.012966992
2020-04-29,0.023213613063166754,0.01272554
2020-04-30,0.030510626541707248,0.011876496
2020-05-01,0.025359483442163253,0.0150908455
2020-05-04,0.02385898743103497,0.015690973
2020-05-05,0.012045630791415926,0.013702774
2020-05-06,0.021140106226836083,0.01067143
2020-05-07,0.019613433043448345,0.011214073
2020-05-08,0.021545158330963248,0.015930139
2020-05-11,0.02468185638645676,0.015191338
2020-05-12,0.02633249244712328,0.014445601
2020-05-13,0.026944130068702967,0.013842742
2020-05-14,0.02241737510631759,0.014281815
2020-05-15,0.03449325804754949,0.021101633
2020-05-18,0.034140634601776236,0.020409795
2020-05-19,0.02920174487652171,0.025505029
2020-05-20,0.029024651703877996,0.030392256
2020-05-21,0.028689971828889587,0.027758561
2020-05-22,0.028933922643171895,0.020959968
2020-05-26,0.025163421978743872,0.014672311
2020-05-27,0.030239983541390788,0.019619947
2020-05-28,0.031618819632919,0.025614558
2020-05-29,0.030397794073593363,0.029273331
2020-06-01,0.023152059805602688,0.018960664
2020-06-02,0.020951678567624348,0.011856085
2020-06-03,0.017724523404278554,0.007040698
2020-06-04,0.01348146496500901,0.007794234
2020-06-05,0.012274362707664343,0.009650171
2020-06-08,0.023793059305851724,0.009852271
2020-06-09,0.03167914459681951,0.009838065
2020-06-10,0.04816300247102888,0.01270822
2020-06-11,0.04633786543453968,0.01735487
2020-06-12,0.04532941814334615,0.046767294
2020-06-15,0.048036662758391274,0.083430596
2020-06-16,0.04606953477405456,0.046488587
2020-06-17,0.017238251583122265,0.01931889
2020-06-18,0.01324206296645224,0.012047982
