Date,Volatilità Reale (exp),Volatilità Predetta (exp)
2019-12-20,0.004909260034681878,0.0062608244
2019-12-23,0.005167421671670167,0.005507441
2019-12-24,0.005624105058924222,0.005842956
2019-12-26,0.006519515649589222,0.006676681
2019-12-27,0.005734487302706548,0.00708851
2019-12-30,0.003841589354183113,0.006753124
2019-12-31,0.005713360355936361,0.006523921
2020-01-02,0.006026574831200587,0.0059325024
2020-01-03,0.005885309188664158,0.005287587
2020-01-06,0.005744381588384431,0.006540045
2020-01-07,0.010317581456089412,0.0072445055
2020-01-08,0.00994322405663137,0.008063589
2020-01-09,0.010119606883930606,0.01046052
2020-01-10,0.00879675357553777,0.0113339145
2020-01-13,0.008949309651612043,0.0093266005
2020-01-14,0.005814215203873719,0.0072804186
2020-01-15,0.004060685034436164,0.0060657323
2020-01-16,0.004229524584019658,0.0061967345
2020-01-17,0.007831697273763346,0.005766992
2020-01-21,0.0070954137256686355,0.0059583713
2020-01-22,0.007343055849241106,0.00777014
2020-01-23,0.005454592800681458,0.008372763
2020-01-24,0.009266967052227265,0.008654343
2020-01-27,0.012039643287493434,0.009456819
2020-01-28,0.012044802616551232,0.012396744
2020-01-29,0.014460659858714987,0.013897348
2020-01-30,0.018178937683698503,0.013562355
2020-01-31,0.015856362294787676,0.013300365
2020-02-03,0.01566757971247448,0.018739266
2020-02-04,0.025563430765367906,0.019090576
2020-02-05,0.025567732629436457,0.018585455
2020-02-06,0.020512060441778456,0.022456001
2020-02-07,0.01928764790430771,0.022637712
2020-02-10,0.019573423261949507,0.018258873
2020-02-11,0.010955939305994252,0.014486867
2020-02-12,0.009593870646260631,0.01255344
2020-02-13,0.009220195413550165,0.0117467875
2020-02-14,0.009946640732997523,0.01108954
2020-02-18,0.010481960907763524,0.010395014
2020-02-19,0.008334325652626862,0.010752509
2020-02-20,0.009733595536472177,0.012221927
2020-02-21,0.022409080629480906,0.011254992
2020-02-24,0.026881378168502137,0.010425337
2020-02-25,0.020321963059988735,0.019767962
2020-02-26,0.017017403661050475,0.024831021
2020-02-27,0.021401489288447338,0.026581697
2020-02-28,0.03833043873214941,0.031987175
2020-03-02,0.03633656391192477,0.036167778
2020-03-03,0.03869265016819751,0.038440485
2020-03-04,0.033404130067286625,0.039744657
2020-03-05,0.04188259355812711,0.036720686
2020-03-06,0.08250036697199567,0.038898315
2020-03-09,0.08250036697199567,0.042191792
2020-03-10,0.08250036697199567,0.065039575
2020-03-11,0.08250036697199567,0.06577415
2020-03-12,0.08250036697199567,0.070042424
2020-03-13,0.08250036697199567,0.072963774
2020-03-16,0.08250036697199567,0.07131985
2020-03-17,0.08250036697199567,0.08033806
2020-03-18,0.08250036697199567,0.07275491
2020-03-19,0.08250036697199567,0.0823111
2020-03-20,0.08250036697199567,0.07571523
2020-03-23,0.08250036697199567,0.07471829
2020-03-24,0.08011469330527152,0.07037538
2020-03-25,0.07964533228880344,0.07004912
2020-03-26,0.08250036697199567,0.07047432
2020-03-27,0.07946555795168396,0.05963426
2020-03-30,0.050422011245142465,0.06322352
2020-03-31,0.05268051282143653,0.058362193
2020-04-01,0.06228034969136674,0.05433001
2020-04-02,0.05045414407744684,0.05218321
2020-04-03,0.053722287517839744,0.05173423
2020-04-06,0.05369486017723634,0.05387499
2020-04-07,0.03838166290610235,0.04849611
2020-04-08,0.034328431683503434,0.04644115
2020-04-09,0.03259830477094009,0.044950318
2020-04-13,0.030784520910169887,0.049966775
2020-04-14,0.04062120514707475,0.043768138
2020-04-15,0.02217377966649618,0.04050462
2020-04-16,0.06009486876622159,0.048192922
2020-04-17,0.06183141973605203,0.04873479
2020-04-20,0.06206861736723838,0.060268193
2020-04-21,0.059747464775676315,0.06572115
2020-04-22,0.052328220181298325,0.056749232
2020-04-23,0.02951278574266882,0.054683935
2020-04-24,0.022117012763222546,0.049980883
2020-04-27,0.012748109759854699,0.04811511
2020-04-28,0.025573688319165015,0.043409746
2020-04-29,0.034502998239393304,0.04169263
2020-04-30,0.04931455464419752,0.044795427
2020-05-01,0.05054067145808149,0.051893953
2020-05-04,0.05006189330419321,0.052030317
2020-05-05,0.034299849399982034,0.046666067
2020-05-06,0.03805147233355461,0.03617403
2020-05-07,0.028583109253519243,0.032144524
2020-05-08,0.029642314917038292,0.03118444
2020-05-11,0.03146158579097182,0.032907106
2020-05-12,0.03676029426867232,0.03907462
2020-05-13,0.034496501425513464,0.034122575
2020-05-14,0.021285944779955653,0.030837063
2020-05-15,0.04660328418396726,0.027856119
2020-05-18,0.04808407158847377,0.020403968
2020-05-19,0.04117019590755775,0.03264475
2020-05-20,0.044216820452731835,0.039991453
2020-05-21,0.04446255439482209,0.037092373
2020-05-22,0.028892173357302937,0.03388335
2020-05-26,0.022894253540042354,0.02421045
2020-05-27,0.022347946130309593,0.019488366
2020-05-28,0.021097548088369545,0.017311016
2020-05-29,0.02192603872551963,0.020200642
2020-06-01,0.021946988665993546,0.01889267
2020-06-02,0.024434434670434057,0.01854928
2020-06-03,0.015438506195816168,0.018776814
2020-06-04,0.026373490665112284,0.015600593
2020-06-05,0.026098496374792404,0.016025243
2020-06-08,0.04214289636026678,0.025960514
2020-06-09,0.05229626890915554,0.036063783
2020-06-10,0.07043145695460193,0.044379324
2020-06-11,0.05819910642848885,0.037245657
2020-06-12,0.048293717002085616,0.038870897
2020-06-15,0.0548670565815227,0.0386984
2020-06-16,0.05299600047948352,0.031300925
2020-06-17,0.025288099036518887,0.028347762
2020-06-18,0.02446031379041213,0.032460827
2020-06-19,0.024541195386125467,0.029845383
