Date,Volatilità Reale (exp),Volatilità Predetta (exp)
2019-12-20,0.008088295951351656,0.0051034694
2019-12-23,0.007565962306578497,0.005715649
2019-12-24,0.0057420140040841195,0.0068536755
2019-12-26,0.005637619488171652,0.006747957
2019-12-27,0.005452545880428895,0.0063292803
2019-12-30,0.003188448592356965,0.0056325733
2019-12-31,0.002297647424904635,0.0050527425
2020-01-02,0.004080223907143251,0.005626315
2020-01-03,0.003695160664622473,0.006331089
2020-01-06,0.004368081605157492,0.00734044
2020-01-07,0.004412602857186786,0.007941108
2020-01-08,0.007922861117146936,0.008537749
2020-01-09,0.007831162773370762,0.008433764
2020-01-10,0.007857660504554621,0.0074692084
2020-01-13,0.007260323228532208,0.0074851327
2020-01-14,0.00790690100638561,0.0077092713
2020-01-15,0.0061936156185315285,0.0074889534
2020-01-16,0.006136858135296746,0.007955125
2020-01-17,0.006907678119656444,0.0074130357
2020-01-21,0.007154026928480533,0.0082691545
2020-01-22,0.006049482367578267,0.008247827
2020-01-23,0.007795120834821474,0.008111476
2020-01-24,0.009584206443073503,0.008250054
2020-01-27,0.009684028920554913,0.009168941
2020-01-28,0.010093643804926875,0.012072632
2020-01-29,0.010348680125949333,0.011649064
2020-01-30,0.012325294684200593,0.009911395
2020-01-31,0.010072847006585174,0.008426732
2020-02-03,0.010642880488638552,0.01046529
2020-02-04,0.012305882362489334,0.011367313
2020-02-05,0.012250830659762941,0.01146095
2020-02-06,0.007381886223985477,0.0119206915
2020-02-07,0.009547400821100217,0.0108775925
2020-02-10,0.008728158000550127,0.00905802
2020-02-11,0.005708884339697735,0.00903537
2020-02-12,0.008554178339424862,0.008538055
2020-02-13,0.008578508758667372,0.008029988
2020-02-14,0.006198506277847219,0.00864921
2020-02-18,0.012487745896295635,0.008615872
2020-02-19,0.012604876377784218,0.009645506
2020-02-20,0.011591820227711314,0.011334655
2020-02-21,0.014797439656287489,0.010186171
2020-02-24,0.01199839340632263,0.008800216
2020-02-25,0.011273905513316996,0.010899619
2020-02-26,0.014380809024452618,0.014227271
2020-02-27,0.00936790126284813,0.013935466
2020-02-28,0.042496179115225984,0.018060911
2020-03-02,0.04355129657576489,0.022507187
2020-03-03,0.04633462734115868,0.038848743
2020-03-04,0.04298256606168368,0.051980324
2020-03-05,0.038490104052175116,0.03789092
2020-03-06,0.02213585655505362,0.028672604
