Date,Volatilità Reale (exp),Volatilità Predetta (exp)
2019-12-20,0.010688547585297912,0.012642498
2019-12-23,0.011926984516446068,0.013547366
2019-12-24,0.01221350137459066,0.013882465
2019-12-26,0.00962808569107217,0.012982355
2019-12-27,0.008719775604433226,0.011942222
2019-12-30,0.012205921434408613,0.011434091
2019-12-31,0.01589005510041672,0.011195679
2020-01-02,0.017578187276314067,0.011272869
2020-01-03,0.017268740669896563,0.011065752
2020-01-06,0.013727783592626601,0.01173307
2020-01-07,0.013335985790027457,0.012200148
2020-01-08,0.011317150887944018,0.012426996
2020-01-09,0.00440491683491918,0.012166061
2020-01-10,0.011225143719248324,0.012722579
2020-01-13,0.0178655138065529,0.01284049
2020-01-14,0.018789542115555263,0.014023959
2020-01-15,0.019061428619115976,0.01434927
2020-01-16,0.01911509050105211,0.013635043
2020-01-17,0.011896668942229498,0.0121813305
2020-01-21,0.008858549010803147,0.011312224
2020-01-22,0.007746886318708607,0.011027754
2020-01-23,0.008778621069727694,0.011694482
2020-01-24,0.021182856617212708,0.012305204
2020-01-27,0.027634643151251123,0.014255468
2020-01-28,0.0274214052351398,0.017604858
2020-01-29,0.026445516979432142,0.01830177
2020-01-30,0.030476242602459375,0.015759535
2020-01-31,0.026893696117039935,0.015426108
2020-02-03,0.025767205804794076,0.020261368
2020-02-04,0.025909644894716026,0.023550153
2020-02-05,0.026151691862945955,0.023917649
2020-02-06,0.01403540056320171,0.02375443
2020-02-07,0.020179951441979437,0.022369478
2020-02-10,0.019453336678197947,0.020047246
2020-02-11,0.019436453096783785,0.018707285
2020-02-12,0.022112980440966632,0.01838401
2020-02-13,0.02848746763299277,0.015320243
2020-02-14,0.027057719116117502,0.01302292
2020-02-18,0.030864214520478998,0.017276684
2020-02-19,0.038624843298689746,0.022452606
2020-02-20,0.05006368703626779,0.030092428
2020-02-21,0.053552053463581946,0.040207952
2020-02-24,0.05080032896564908,0.033747576
2020-02-25,0.035590702211723564,0.0230052
2020-02-26,0.03613986871304033,0.016083617
2020-02-27,0.05896397659826614,0.012391962
2020-02-28,0.05116909850381109,0.014863671
2020-03-02,0.05051438075591373,0.022104321
2020-03-03,0.058365010598400574,0.023457177
2020-03-04,0.05358591515986807,0.030182248
2020-03-05,0.04725182348510348,0.035079453
2020-03-06,0.055004735970531855,0.03318601
2020-03-09,0.06551324271129774,0.029628033
2020-03-10,0.054427462791762894,0.03674143
